1200		0
1201		1
1202		2
1203		3
1204		4
1205		5
1206		6
1208		0
1209		1
120a		2
120b		3
120c		4
120d		5
120e		6
120f		11
1210		0
1211		1
1212		2
1213		3
1214		4
1215		5
1216		6
1217		11
1218		0
1219		1
121a		2
121b		3
121c		4
121d		5
121e		6
121f		11
1220		0
1221		1
1222		2
1223		3
1224		4
1225		5
1226		6
1227		11
1228		0
1229		1
122a		2
122b		3
122c		4
122d		5
122e		6
122f		11
1230		0
1231		1
1232		2
1233		3
1234		4
1235		5
1236		6
1237		11
1238		0
1239		1
123a		2
123b		3
123c		4
123d		5
123e		6
123f		11
1240		0
1241		1
1242		2
1243		3
1244		4
1245		5
1246		6
1248		8
124a		10
124b		11
124c		12
124d		13
1250		0
1251		1
1252		2
1253		3
1254		4
1255		5
1256		6
1258		8
125a		10
125b		11
125c		12
125d		13
1260		0
1261		1
1262		2
1263		3
1264		4
1265		5
1266		6
1267		11
1268		0
1269		1
126a		2
126b		3
126c		4
126d		5
126e		6
126f		11
1270		0
1271		1
1272		2
1273		3
1274		4
1275		5
1276		6
1277		11
1278		0
1279		1
127a		2
127b		3
127c		4
127d		5
127e		6
127f		11
1280		0
1281		1
1282		2
1283		3
1284		4
1285		5
1286		6
1288		8
128a		10
128b		11
128c		12
128d		13
1290		0
1291		1
1292		2
1293		3
1294		4
1295		5
1296		6
1297		11
1298		0
1299		1
129a		2
129b		3
129c		4
129d		5
129e		6
129f		11
12a0		0
12a1		1
12a2		2
12a3		3
12a4		4
12a5		5
12a6		6
12a7		11
12a8		0
12a9		1
12aa		2
12ab		3
12ac		4
12ad		5
12ae		6
12b0		8
12b2		10
12b3		11
12b4		12
12b5		13
12b8		0
12b9		1
12ba		2
12bb		3
12bc		4
12bd		5
12be		6
12c0		8
12c2		10
12c3		11
12c4		12
12c5		13
12c8		0
12c9		1
12ca		2
12cb		3
12cc		4
12cd		5
12ce		6
12d0		0
12d1		1
12d2		2
12d3		3
12d4		4
12d5		5
12d6		6
12d8		0
12d9		1
12da		2
12db		3
12dc		4
12dd		5
12de		6
12df		11
12e0		0
12e1		1
12e2		2
12e3		3
12e4		4
12e5		5
12e6		6
12e7		11
12e8		0
12e9		1
12ea		2
12eb		3
12ec		4
12ed		5
12ee		6
12f0		0
12f1		1
12f2		2
12f3		3
12f4		4
12f5		5
12f6		6
12f7		11
12f8		0
12f9		1
12fa		2
12fb		3
12fc		4
12fd		5
12fe		6
12ff		11
1300		0
1301		1
1302		2
1303		3
1304		4
1305		5
1306		6
1307		11
1308		0
1309		1
130a		2
130b		3
130c		4
130d		5
130e		6
1310		8
1312		10
1313		11
1314		12
1315		13
1318		0
1319		1
131a		2
131b		3
131c		4
131d		5
131e		6
1320		0
1321		1
1322		2
1323		3
1324		4
1325		5
1326		6
1327		11
1328		0
1329		1
132a		2
132b		3
132c		4
132d		5
132e		6
132f		11
1330		0
1331		1
1332		2
1333		3
1334		4
1335		5
1336		6
1337		11
1338		0
1339		1
133a		2
133b		3
133c		4
133d		5
133e		6
133f		11
1340		0
1341		1
1342		2
1343		3
1344		4
1345		5
1346		6
1348		0
1349		1
134a		2
134b		3
134c		4
134d		5
134e		6
134f		11
1350		0
1351		1
1352		2
1353		3
1354		4
1355		5
1356		6
1357		11
